"child_id","session_date","nickname","terminal_status","terminal_reason","work_kind","patch_call_count","logical_bytes","allocated_bytes","final_message_sha256","final_report_preserved","disposition","session_path"
"019fba31-a317-7bb0-8aa8-f830a4a9bcf0","01","Dalton","completed","","implementation","12","736719","736719","1ef6d31cc603c0a183fb5a2acd592bc4559624873063c1c6a126e61bc49df922","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-00-43-019fba31-a317-7bb0-8aa8-f830a4a9bcf0.jsonl"
"019fba31-a411-7510-9686-8ce1b06e9d6c","01","Aristotle","completed","","implementation","13","740152","740152","b27411475496c2df2ecf07b058d317810ec716289e00df354c7629686efe547e","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-00-43-019fba31-a411-7510-9686-8ce1b06e9d6c.jsonl"
"019fba36-2a10-7a83-9a62-77db81483cc8","01","Nash","completed","","implementation","14","1030444","1030444","19812114426979db60621948350e9cdd008f4427a0afeb2f3b8627aee3ca4ac5","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-05-39-019fba36-2a10-7a83-9a62-77db81483cc8.jsonl"
"019fba3b-9c1e-7433-b0cb-882ff6462be7","01","Huygens","completed","","implementation","20","1952606849","1952606849","96fd29e63eefdfbc6b569d74310a40751778bfdc34fe0a2e89c94cb386a8c1c1","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-11-36-019fba3b-9c1e-7433-b0cb-882ff6462be7.jsonl"
"019fba3f-4a6d-7743-a7b3-a1364d00dce3","01","Russell","completed","","implementation","4","1952409783","1952409783","8aaa6b8921ed645b7d31f1f8fd39a3789156d51fae0baec09c67398aa9e92b49","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-15-37-019fba3f-4a6d-7743-a7b3-a1364d00dce3.jsonl"
"019fba43-f4f4-7001-9ee4-929db0edde72","01","Pasteur","completed","","implementation","16","1962237281","1962237281","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-20-43-019fba43-f4f4-7001-9ee4-929db0edde72.jsonl"
"019fba46-ac34-7730-829b-ed9f07026d7a","01","Cicero","completed","","implementation","8","1952527357","1952527357","bb969e5b9d0b35de766a7b26fc2901b9fd9ea1fe8c97edad64205b499e9d7a9a","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-23-41-019fba46-ac34-7730-829b-ed9f07026d7a.jsonl"
"019fba4b-cff4-7ec2-ae35-cb772e08288d","01","Pauli","completed","","implementation","5","1952462455","1952462455","3787f3042471090f020c3f22852c6ce65eecce95ec2d31694f45cd0f520cfba1","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-29-18-019fba4b-cff4-7ec2-ae35-cb772e08288d.jsonl"
"019fba4c-664f-70a2-b088-84a8e2af04de","01","Schrodinger","completed","","implementation","10","1952550939","1952550939","19c6f1604c9376b9e7e6823c04cdbb66310d8be0e77ba6c39b8a6f48b3d35f90","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-29-57-019fba4c-664f-70a2-b088-84a8e2af04de.jsonl"
"019fba53-e2f0-7bd0-b23a-9ab8a9f5c4c0","01","Pascal","completed","","implementation","6","1952493560","1952493560","ed33a96232256f5ea6af116b46391c9896a0047de1bdcd075e48070ab9d9cef7","True","candidate_after_ledger_commit","08/01/rollout-2026-08-01T00-38-07-019fba53-e2f0-7bd0-b23a-9ab8a9f5c4c0.jsonl"
